probabilities
0,5 0,05 0,1 0,05 0,2 0,1 0,2 0,05 0,15
matrix
-100, -70, 100, 20, 120, 30, 40, 50, 160
90, -50, -200, 500, -100, 10, 20, 70, -60
10, 20, -100, -70, -80, 1000, -20, -10, 50
40, 100, 200, 300, -200, -100, 50, 6, 10
400, 100, 55, 45, 0, 10, 40, 60, 30
170, 180, 110, 115, 98, 78, 77, 32, 45
-2, 0, 100, -1, -10, 40, 32, 1000, 200
27, -30, 1000, -500, -20, 30, 30, 55, 48
500, 200, 10, 1, 2, 10, -30, -2, 15
112, 100, 90, 50, -100, 30, 10, 12, 13
-50, 50, 100, -50, 1000, 70, 500, -50, -10
